Category ID,Name,Description
1,フィクション,様々なジャンルの小説や物語を含む。
2,ノンフィクション,実際の出来事や事実に基づいた書籍。
3,歴史,歴史的な出来事や人物に関する書籍。
4,科学,自然科学や技術に関する書籍。
5,文学,古典から現代までの文学作品。
6,哲学,哲学的思想や理論に関する書籍。
7,心理学,心の働きや行動に関する書籍。
8,自己啓発,自己改善や成長に関する書籍。
9,ビジネス・経済,ビジネス戦略や経済理論に関する書籍。
10,社会,社会問題や文化に関する書籍。
11,教育,教育方法や教育制度に関する書籍。
12,子供向け書籍,児童文学や子供向けの読み物。
13,YA（ヤングアダルト）,若者向けのフィクションやノンフィクション。
14,SF（サイエンスフィクション）,科学や未来をテーマにしたフィクション。
15,ファンタジー,空想や魔法を題材にした作品。
16,ミステリー・推理小説,推理や犯罪をテーマにした小説。
17,ホラー,恐怖や不安をテーマにした作品。
18,詩,詩的な表現や作品を集めたセクション。
19,旅行,旅行ガイドや旅行記に関する書籍。
20,レシピ・料理,料理の作り方やレシピ集。
21,健康・フィットネス,健康や運動に関する書籍。
22,趣味・クラフト,手芸や手作りに関する本。
23,音楽,音楽理論やアーティストに関する書籍。
24,映画・演劇,映画や舞台に関する書籍。
25,エッセイ,著者の個人的な体験や意見を書いたもの。
26,伝記,著名人の人生を描いた書籍。
27,宗教,様々な宗教に関する書籍。
28,地理,国や地域についての書籍。
29,政治,政治理論や出来事に関する書籍。
30,アート,美術やデザインに関する書籍。
31,コミック・漫画,日本や海外の漫画やコミック。
32,写真集,写真を中心とした書籍。
33,電子書籍,デジタル形式の書籍。
34,ファッション,ファッションデザインやトレンドに関する書籍。
35,弁護士・法学,法律や法学に関する書籍。
36,自伝,著者自身のストーリーを描いたもの。
37,投資・金融,投資や金融に関する書籍。
38,スタディガイド,学ぶためのガイドや教材。
39,環境,環境問題やサステナビリティに関する書籍。
40,テクノロジー,最新のテクノロジーに関する書籍。
41,ペット・動物,動物に関する書籍やガイド。
42,スポーツ,各種スポーツに関する書籍。
43,言語学習,言語を学ぶための教材や書籍。
44,古典,古典文学や古典作品集。
45,社会問題,現代の社会問題を扱った書籍。
46,哲学的エッセイ,哲学についてのエッセイ集。
47,デザイン,デザイン理論や実践に関する書籍。
48,神話・伝説,各国の神話や伝説に関する書籍。
49,サイエンス,科学の基本原理や最新研究に関する書籍。
50,文学批評,文学作品についての批評や分析。
51,文化人類学,文化や人類の行動に関する研究書。
52,風土記,地域の風俗や文化を記した書籍。
53,書道・美術,書道や美術に関する専門書。
54,公共政策,公共政策に関する研究や提言。
55,クラシック音楽,クラシック音楽の歴史や理論。
56,プログラミング,プログラミング言語や技術に関する書籍。
57,演技・パフォーマンス,演技やパフォーマンス技法に関する書籍。
58,マーケティング,販売戦略やマーケティングに関する書籍。
59,娯楽,エンターテイメント全般に関する書籍。
60,国際関係,国際問題や外交に関する書籍。
61,思想,様々な思想や信念に関する書籍。
62,倫理学,倫理や道徳に関する書籍。
63,環境科学,環境保護や生態学に関する書籍。
64,漫画研究,漫画の歴史や技法、各ジャンルの分析に関する資料
65,職業ガイド,様々な職業の紹介やキャリアパス、必要なスキルを説明した書籍
66,人間関係,対人関係やコミュニケーションスキルに関する書籍
67,自然環境,自然の美しさや保護に関する書籍
68,旅行ガイド,特定の地域や国の旅行情報や観光名所を紹介するガイドブック
69,民俗学,各地域の民俗や伝承に関する研究書
70,宗教史,歴史的視点からの宗教の変遷を扱った書籍
71,グラフィックデザイン,視覚的な表現手法やデザインの理論についての資料
72,アニメーション,アニメの制作技法や歴史に関する書籍
73,エコロジー,生態系の構造や環境保護に関する研究書
74,サブカルチャー,様々なサブカルチャーやトレンドについての考察
75,ビジュアルアート,視覚芸術やその流派に関する書籍
76,ライティング技術,文章の書き方や表現技法についての書籍
77,ディベート技術,論理的な議論やディベートに関する書籍
78,通訳・翻訳,翻訳技術や通訳の現場に関する書籍
79,工芸,伝統的な工芸技術や作品集
80,ライフスタイル,生活習慣や暮らしに関する提案や実践書
81,エッジテクノロジー,最新の技術トレンドや未来予測
82,ビデオゲーム,ゲームデザインやゲーム開発に関する書籍
83,地域研究,特定の地域やコミュニティに焦点を当てた研究書
84,モダンアート,近現代アートの動向や作品解説
85,コンサルティング,コンサルティング技能や事例研究
86,職人技術,特定の職人技術や技術者の物語
87,マネジメント,組織運営やチームマネジメントに関する書籍
88,歴史人物,特定の歴史人物に焦点を当てた作品や研究書
89,デジタル文化,デジタル時代の文化やコミュニケーションに関する書籍
90,コラージュ・アート,コラージュ技術や作品に関する書籍
91,お金の哲学,お金に関する価値観や哲学的視点についての書籍
92,キャラクター分析,文学や映画に登場するキャラクターの心理や行動を解剖した書籍
93,ネットワーキング,人脈を築く技術や戦略に関する書籍
94,美食文化,世界各国の食文化や美食に関するエッセイや研究書
95,クラウドテクノロジー,クラウドコンピューティングの基本や応用に関する書籍
96,データサイエンス,データ解析や統計学に関する書籍
97,旬のビジネス,現在のビジネス環境や市場トレンドに関する書籍
98,現代語訳,古典文学の現代語訳や解説
99,インディペンデント出版,独立系の作家や出版社に関する情報
100,オープンソース,オープンソースソフトウェアや開発手法に関する書籍
101,バイオテクノロジー,バイオテクノロジーに関する最新の研究や事例
102,人口動態,人口動態の変化や社会への影響に関する書籍
103,ストーリーテリング,効果的なストーリーテリング技術に関する書籍
104,未来学,未来のトレンドやライフスタイルに関する考察
105,地域の食材,地域特産の食材に関するレシピや情報
106,DIYプロジェクト,自宅でできるDIYプロジェクトのアイデアやガイド
107,マインドフルネス,マインドフルネスや瞑想に関する書籍
108,ラジオ制作,ラジオ番組の制作や聴き方に関する書籍
109,ウエルネス,心身の健康を追求するための情報やテクニック
110,パフォーマンスアート,パフォーマンスアートに関する歴史や手法
111,「近未来」小説,未来を描いた創作文学や小説のジャンル
112,アニメの歴史,アニメの進化と文化的影響についての書籍
113,職場の文化,職場環境や企業文化の研究書
114,航空学,航空の原理や歴史についての資料
115,ペットのしつけ,ペットの訓練方法やケアに関する情報
116,交流の場,コミュニティの交流や実践に関する書籍
