Query ID,User ID,Search Query,Search Results (JSON)
1,1,アニメの歴史,"[{""content_id"": 2, ""title"": ""星の彼方に - 宇宙探索の物語"", ""relevance_score"": 1.9237968}, {""content_id"": 3, ""title"": ""戦国時代の真実"", ""relevance_score"": 1.8761824}, {""content_id"": 19, ""title"": ""日本国内の秘境を求めて"", ""relevance_score"": 1.8761824}, {""content_id"": 27, ""title"": ""宗教の旅: 世界の信仰探求"", ""relevance_score"": 1.707171}, {""content_id"": 28, ""title"": ""世界の国々を巡る旅"", ""relevance_score"": 1.6161778}]"
1,2,歴史上の著名な政治家と彼らの政策,"[{""content_id"": 29, ""title"": ""現代政治理論入門"", ""relevance_score"": 7.582881}, {""content_id"": 1, ""title"": ""幽霊屋敷の秘密"", ""relevance_score"": 4.247367}, {""content_id"": 26, ""title"": ""星の導き: 宇宙科学者の軌跡"", ""relevance_score"": 2.830511}, {""content_id"": 24, ""title"": ""映画の背後にある真実"", ""relevance_score"": 2.2924943}, {""content_id"": 14, ""title"": ""銀河の向こう側で"", ""relevance_score"": 2.0433323}]"
1,3,公共政策 政策分析 政府の運営,"[{""content_id"": 4, ""title"": ""未来のエネルギー革命"", ""relevance_score"": 2.228675}, {""content_id"": 29, ""title"": ""現代政治理論入門"", ""relevance_score"": 2.153388}, {""content_id"": 10, ""title"": ""現代社会とその課題"", ""relevance_score"": 2.12941}]"
1,4,哲学的エッセイ,"[{""content_id"": 6, ""title"": ""存在の探求：哲学的な旅"", ""relevance_score"": 4.972472}, {""content_id"": 25, ""title"": ""日常の小さな幸せ"", ""relevance_score"": 2.8921726}, {""content_id"": 9, ""title"": ""戦略的思考のフレームワーク"", ""relevance_score"": 2.257245}, {""content_id"": 8, ""title"": ""自己啓発の達人になるためのアプローチ"", ""relevance_score"": 1.2601483}, {""content_id"": 28, ""title"": ""世界の国々を巡る旅"", ""relevance_score"": 1.2601483}]"
1,5,クラシック音楽 作曲家 伝記ノンフィクション,"[{""content_id"": 23, ""title"": ""音楽理論の基礎"", ""relevance_score"": 6.413022}, {""content_id"": 2, ""title"": ""星の彼方に - 宇宙探索の物語"", ""relevance_score"": 3.369263}, {""content_id"": 26, ""title"": ""星の導き: 宇宙科学者の軌跡"", ""relevance_score"": 2.830511}, {""content_id"": 29, ""title"": ""現代政治理論入門"", ""relevance_score"": 2.4855664}, {""content_id"": 1, ""title"": ""幽霊屋敷の秘密"", ""relevance_score"": 2.4043453}]"
1,6,宗教の歴史,"[{""content_id"": 27, ""title"": ""宗教の旅: 世界の信仰探求"", ""relevance_score"": 6.8044853}, {""content_id"": 2, ""title"": ""星の彼方に - 宇宙探索の物語"", ""relevance_score"": 1.9237968}, {""content_id"": 3, ""title"": ""戦国時代の真実"", ""relevance_score"": 1.8761824}, {""content_id"": 19, ""title"": ""日本国内の秘境を求めて"", ""relevance_score"": 1.8761824}, {""content_id"": 28, ""title"": ""世界の国々を巡る旅"", ""relevance_score"": 1.6161778}]"
1,7,哲学的エッセイ,"[{""content_id"": 6, ""title"": ""存在の探求：哲学的な旅"", ""relevance_score"": 4.972472}, {""content_id"": 25, ""title"": ""日常の小さな幸せ"", ""relevance_score"": 2.8921726}, {""content_id"": 9, ""title"": ""戦略的思考のフレームワーク"", ""relevance_score"": 2.257245}, {""content_id"": 8, ""title"": ""自己啓発の達人になるためのアプローチ"", ""relevance_score"": 1.2601483}, {""content_id"": 28, ""title"": ""世界の国々を巡る旅"", ""relevance_score"": 1.2601483}]"
1,8,伝記 歴史的人物 文化的背景,"[{""content_id"": 19, ""title"": ""日本国内の秘境を求めて"", ""relevance_score"": 7.468896}, {""content_id"": 28, ""title"": ""世界の国々を巡る旅"", ""relevance_score"": 7.4002485}, {""content_id"": 6, ""title"": ""存在の探求：哲学的な旅"", ""relevance_score"": 4.51449}, {""content_id"": 9, ""title"": ""戦略的思考のフレームワーク"", ""relevance_score"": 4.51449}, {""content_id"": 26, ""title"": ""星の導き: 宇宙科学者の軌跡"", ""relevance_score"": 4.290557}]"
1,9,遺伝子工学 細胞生物学 ノンフィクション,"[{""content_id"": 7, ""title"": ""心の迷宮"", ""relevance_score"": 3.8024383}, {""content_id"": 2, ""title"": ""星の彼方に - 宇宙探索の物語"", ""relevance_score"": 3.369263}, {""content_id"": 30, ""title"": ""色彩の魔法：色の心理学とデザイン"", ""relevance_score"": 2.4818258}]"
1,10,ペット しつけ,[]
